doc_id,url,url_confidence,publisher,title,retrieved_at,last_updated,licence,filename,sha256,pages,text_layer
i-m-a-migrant-worker-being-treated-unfairly-fair-work-ombuds,https://www.fairwork.gov.au/workplace-problems/common-workplace-problems/im-a-migrant-worker-being-treated-unfairly,self-canonical,Fair Work Ombudsman,I'm a migrant worker being treated unfairly - Fair Work Ombudsman,2026-09-11T16:18:59+10:00,not_shown,TO_VERIFY,I'm a migrant worker being treated unfairly - Fair Work Ombudsman.pdf,d3afd2b3a2864d600dbe6f97fc9d596e9e99fe0558deba86bda8e22abb3d9906,3,OK
i-m-not-getting-pay-slips-fair-work-ombudsman,https://www.fairwork.gov.au/workplace-problems/common-workplace-problems/im-not-getting-pay-slips,self-canonical,Fair Work Ombudsman,I'm not getting pay slips - Fair Work Ombudsman,2026-09-11T16:18:44+10:00,not_shown,TO_VERIFY,I'm not getting pay slips - Fair Work Ombudsman.pdf,828686ca95474d1a7e0c77e3217cde3b5e4589a723199dce8113c1d1cbc1429c,3,OK
medical-costs-medicare-services-australia,https://www.servicesaustralia.gov.au/medical-costs?context=60092,sibling-link (1.00),Services Australia,Medical costs - Medicare - Services Australia,2026-09-11T16:10:07+10:00,16 July 2026,TO_VERIFY,Medical costs - Medicare - Services Australia.pdf,8dcb6626adc77defcc49d3f8960695375cf594c65c7f1c7bfc6d7d9b531bf04c,4,OK
medicare-two-way-medicare-services-australia,https://www.servicesaustralia.gov.au/medicare-two-way?context=60092,sibling-link (1.00),Services Australia,Medicare Two-way - Medicare - Services Australia,2026-09-11T16:10:23+10:00,15 October 2025,TO_VERIFY,Medicare Two-way - Medicare - Services Australia.pdf,285cefdfeb9d9088aa10183fbe541fac9a0c8177d578ab8352a8f49747e98ea3,3,OK
medicare-and-tax-medicare-services-australia,https://www.servicesaustralia.gov.au/medicare-and-tax?context=60092,sibling-link (1.00),Services Australia,Medicare and tax - Medicare - Services Australia,2026-09-11T16:10:00+10:00,22 October 2025,TO_VERIFY,Medicare and tax - Medicare - Services Australia.pdf,55178a0f5e278c5d6c7167b8ca6f91dca5b8c51422c8e4bc213e5a093202c67c,3,OK
medicare-claims-medicare-services-australia,https://www.servicesaustralia.gov.au/medicare-claims?context=60092,sibling-link (1.00),Services Australia,Medicare claims - Medicare - Services Australia,2026-09-11T16:09:31+10:00,14 November 2025,TO_VERIFY,Medicare claims - Medicare - Services Australia.pdf,cedccb73c857dcd0f86a04f15cfeb4d4c2b732c95c70cc0ffb10875a34439462,6,OK
medicare-services-for-aboriginal-and-torres-strait-islander-,https://www.servicesaustralia.gov.au/medicare-services-for-aboriginal-and-torres-strait-islander-australians?context=60092,sibling-link (1.00),Services Australia,Medicare services for Aboriginal and Torres Strait Islander Australians - Medicare - Services Australia,2026-09-11T16:08:58+10:00,28 April 2026,TO_VERIFY,Medicare services for Aboriginal and Torres Strait Islander Australians - Medicare - Services Australia.pdf,8c3b62ffcf85d70715790e98996eb32717a82d10ff86569ca493f7d334597069,3,OK
medicare-services-for-conceiving-pregnancy-and-birth-medicar,https://www.servicesaustralia.gov.au/medicare-services-for-conceiving-pregnancy-and-birth?context=60092,sibling-link (1.00),Services Australia,"Medicare services for conceiving, pregnancy and birth - Medicare - Services Australia",2026-09-11T16:08:41+10:00,27 May 2026,TO_VERIFY,"Medicare services for conceiving, pregnancy and birth - Medicare - Services Australia.pdf",76e4f9e16bc82435f1023582481cdae3dadba188b6209fb8763b05ba93fac2a6,4,OK
medicare-services-for-rural-and-remote-australians-medicare-,https://www.servicesaustralia.gov.au/medicare-services-for-rural-and-remote-australians?context=60092,sibling-link (1.00),Services Australia,Medicare services for rural and remote Australians - Medicare - Services Australia,2026-09-11T16:09:04+10:00,15 October 2025,TO_VERIFY,Medicare services for rural and remote Australians - Medicare - Services Australia.pdf,1da8dec6ff441fa4d9cadade2ae1e47951bdd01510db1823e62513e6905e2d94,4,OK
medicine-and-medicare-medicare-services-australia,https://www.servicesaustralia.gov.au/medicine-and-medicare?context=60092,sibling-link (1.00),Services Australia,Medicine and Medicare - Medicare - Services Australia,2026-09-11T16:08:02+10:00,5 September 2025,TO_VERIFY,Medicine and Medicare - Medicare - Services Australia.pdf,e6c74b85e33f295270487d30af5f1a0bbb3171483ffb42c25285f70b7c9f2e37,3,OK
mental-health-care-and-medicare-medicare-services-australia,https://www.servicesaustralia.gov.au/mental-health-care-and-medicare?context=60092,verified,Services Australia,Mental health care and Medicare - Medicare - Services Australia,2026-09-11T16:08:10+10:00,15 August 2025,TO_VERIFY,Mental health care and Medicare - Medicare - Services Australia.pdf,45cf2e00f8f31b227774dde95631129ac93e8c678abf88fc9a003f56ac54151c,5,OK
